date,kind,item,gross,tare,net,price,amount
2026-07-27,wire,,,,,,1.00
2026-07-28,wire,,,,,,9999.00
2026-08-04,wire,,,,,,7000.00
2026-08-05,wire,,,,,,10000.00
2026-08-11,wire,,,,,,7150.18
2026-08-17,wire,,,,,,10000.00
2026-08-19,wire,,,,,,6000.00
2026-08-19,wire,,,,,,17000.00
2026-08-25,wire,,,,,,5000.00
2026-08-28,wire,,,,,,10000.00
2026-09-01,wire,,,,,,10000.00
2026-09-05,wire,,,,,,10000.00
2026-09-09,wire,,,,,,12000.00
2026-09-15,wire,,,,,,9000.00
2026-09-21,wire,,,,,,10000.00
2026-08-03,load,Electrical motors,2213,53,2160,0.60,1296.00
2026-08-03,load,Electric motors small/mix,1675,41,1634,0.55,898.70
2026-08-03,load,Sealed units,12145,314,11831,0.50,5915.50
2026-08-03,load,Al Breakage,6929,255,6674,0.30,2002.20
2026-08-03,load,Cast,8949,367,8582,0.96,8238.72
2026-08-03,load,Battery,5631,72,5559,0.34,1890.06
2026-08-03,load,Al wheels clean,4792,186,4606,1.50,6909.00
2026-08-19,load,Ac compressors,8810,216,8594,0.60,5156.40
2026-08-19,load,Sealed units,6752,162,6590,0.50,3295.00
2026-08-19,load,Cast,9448,405,9043,1.02,9223.86
2026-08-19,load,Electrical motors,4498,102,4396,0.60,2637.60
2026-08-19,load,Starters,2510,48,2462,0.85,2092.70
2026-08-19,load,Alternator,2504,55,2449,1.10,2693.90
2026-08-19,load,Al wheels,6000,209,5791,1.50,8686.50
2026-08-19,load,Chrome,1866,54,1812,1.20,2174.40
2026-09-01,load,Al wheels clean,12707,450,12257,1.50,18385.50
2026-09-01,load,Battery,11093,183,10910,0.34,3709.40
2026-09-01,load,Chrome rim,1138,55,1083,1.20,1299.60
2026-09-01,load,Sealed units,6825,182,6643,0.50,3321.50
2026-09-01,load,Alternator,2597,52,2545,1.10,2799.50
2026-09-01,load,Ac compressor,4680,99,4581,0.60,2748.60
2026-09-01,load,Starter,1570,54,1516,0.85,1288.60
2026-09-01,load,Electric motors,2470,54,2416,0.60,1449.60
2026-09-21,load,Sealed units,8369,196,8173,0.50,4086.50
2026-09-21,load,Battery,6151,83,6068,0.34,2063.12
2026-09-21,load,Al wheels clean,5946,209,5737,1.48,8490.76
2026-09-21,load,Chrome rim,1576,60,1516,1.20,1819.20
2026-09-21,load,Ac compressor,2828,50,2778,0.60,1666.80
2026-09-21,load,Auto cast,13834,477,13357,0.98,13089.86
2026-09-21,load,Electric motor,1852,56,1796,0.62,1113.52
2026-09-21,load,Electric motor with Fans,950,42,908,0.60,544.80
2026-09-21,load,Breakage,2596,123,2473,0.25,618.25
